"st_abbrev","geo","state_symbol","data_symbol","start_year","start_month","end_year","end_month","all_percentagechange","opioid_percentagechange","heroin_percentagechange","stimulant_percentagechange","all_issignificant","opioid_issignificant","heroin_issignificant","stimulant_issignificant","all_significance","opioid_significance","heroin_significance","stimulant_significance","sex","age_range","state_count","comparison_type"
"US","US-US","","","2021","8","2022","8","-0.53","1.62","-25.29","-0.41","FALSE","FALSE","TRUE","FALSE","No Significant Change","No Significant Change","Significant Decrease","No Significant Change","all","all","41","2Year2YearSameMonthUS"
"US","US-US","","","2021","9","2022","9","-4.66","-5.72","-32.25","-6.15","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2021","10","2022","10","-12.48","-14.28","-42.06","-17.27","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2021","11","2022","11","-14.34","-14.98","-41.54","-13.74","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2021","12","2022","12","-0.72","-2.47","-37.88","-3.49","FALSE","TRUE","TRUE","FALSE","No Significant Change","Significant Decrease","Significant Decrease","No Significant Change","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2022","1","2023","1","4.68","1.11","-32.77","5.62","TRUE","FALSE","TRUE","FALSE","Significant Increase","No Significant Change","Significant Decrease","No Significant Change","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2022","2","2023","2","-11.51","-14.07","-46.49","-14.26","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2022","3","2023","3","-7.68","-9.04","-44.2","-11.71","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2022","4","2023","4","-2.6","-3.62","-35.73","-9.53","TRUE","TRUE","TRUE","TRUE","Significant Decrease","Significant Decrease","Significant Decrease","Significant Decrease","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2022","5","2023","5","2.4","2.73","-30.5","-0.73","TRUE","TRUE","TRUE","FALSE","Significant Increase","Significant Increase","Significant Decrease","No Significant Change","all","all","42","2Year2YearSameMonthUS"
"US","US-US","","","2018","1","2018","2","1.89","5.67","11.24","19.98","FALSE","TRUE","TRUE","TRUE","No Significant Change","Significant Increase","Significant Increase","Significant Increase","F","all","36","3Month2MonthGenderUS"
"US","US-US","","","2018","1","2018","2","3.38","3.77","1.81","7.29","TRUE","TRUE","FALSE","FALSE","Significant Increase","Significant Increase","No Significant Change","No Significant Change","M","all","36","3Month2MonthGenderUS"
"US","US-US","","*","2018","1","2018","2","-8.18","-19.41","suppressed","suppressed","FALSE","FALSE","FALSE","FALSE","No Significant Change","No Significant Change","Data Not Available/Not Reported","Data Not Available/Not Reported","Missing","all","36","3Month2MonthGenderUS"
"US","US-US","","","2018","2","2018","3","7.34","8.72","9.56","15.69","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","F","all","36","3Month2MonthGenderUS"
"US","US-US","","","2018","2","2018","3","9.45","10.07","6.74","16.74","TRUE","TRUE","TRUE","TRUE","Significant Increase","Significant Increase","Significant Increase","Significant Increase","M","all","36","3Month2MonthGenderUS"
