"","fips","year","state","county","yrs_potential_life_lost_rate","percent_fair_poor_health","phys_unhealthy_days","mentally_unhealthy_days","preventable_hosp_rate","percent_smokers","low_birthweight","excessive_drinking","mental_health_providers","mental_health_providers_ratio","percent_unemployed","violent_crime_rate","income_ratio","eighty_percentile_income","twenty_percentile_income","labor_force","percent_child_poverty"
"109","06097",2019,"California","Sonoma","4822.9556464",13.01989,3.40571,3.80926,"2490","11.151103724","5.6605932325",19.33686,2206,"229:1",8835,"367.91949455",4.44773,138062,31041,262807,10.9
"110","06099",2019,"California","Stanislaus","7247.9849565",18.83068,3.85054,3.93233,"4408","12.659456408","6.3718604259",17.79377,1064,"515:1",18165,"578.4520988",4.55431,105710,23211,243235,18.6
"111","06101",2019,"California","Sutter","6973.2099905",18.24106,3.81475,3.72483,"4294","13.071246507","6.4509051015",16.92001,286,"338:1",3935,"351.79749787",4.62134,106619,23071,45739,18.2
"112","06103",2019,"California","Tehama","8122.4555793",18.73571,4.23454,4.29424,"3104","14.741324099","6.0634155387",18.78625,102,"627:1",1630,"540.13753282",4.53655,87256,19234,25598,29
"113","06105",2019,"California","Trinity","11256.909302",17.35416,4.21129,4.36405,"2596","15.334945562","4.8811013767",16.4621,53,"240:1",301,"380.32936523",5.3158,83878,15779,4991,32.1
"114","06107",2019,"California","Tulare","7303.1420504",26.61325,4.45064,4.01791,"4171","15.773391503","6.6121323182",17.78236,1181,"393:1",21401,"381.80764333",4.84793,91781,18932,205423,31.9
"115","06109",2019,"California","Tuolumne","7653.113045",13.84355,3.48213,3.70358,"2734","12.298731619","5.9538653367",19.09234,85,"638:1",1158,"316.15673143",4.6926,106949,22791,21477,17.5
"116","06111",2019,"California","Ventura","4764.7697641",14.94541,3.29672,3.4978,"3274","10.64246705","6.1178322022",18.82616,2917,"293:1",19140,"240.48967302",4.37256,155086,35468,426116,13.2
"117","06113",2019,"California","Yolo","5160.4666866",16.22095,3.68405,3.75176,"2441","11.683609787","5.8672708843",19.46963,728,"301:1",5402,"331.88943992",6.17759,132639,21471,107775,14.1
"118","06115",2019,"California","Yuba","9470.1542203",18.17917,4.07363,4.01641,"4842","14.855976634","6.4516129032",18.68218,147,"524:1",2125,"413.7271153",4.58366,98104,21403,28546,21.9
"119","53000",2020,"Washington","state_year","5593.5123623",15.56431,3.88206,4.12242,"2969","13.489057108","6.4360419651",17.43002,28085,"268:1",170797,"293.8005635",4.42932,134514,30369,3793095,12.6
"120","53001",2020,"Washington","Adams","5818.4327182",23.41677,4.31758,4.13651,"1313","14.33154142","7.225758143",16.14273,34,"581:1",511,"248.40220457",4.27637,91711,21446,9479,20.4
"121","53003",2020,"Washington","Asotin","7107.4141735",15.31368,3.93607,4.50061,"2857","14.357644394","6.1713600959",17.19901,80,"283:1",442,"210.83796878",4.28897,96669,22539,10153,20.6
"122","53005",2020,"Washington","Benton","5676.15664",16.09646,3.87289,4.09966,"4336","13.078767464","6.5538764783",18.32032,524,"385:1",5160,"194.58263075",4.34364,123177,28358,99084,13.5
"123","53007",2020,"Washington","Chelan","5089.0035254",17.16393,3.8325,4.36596,"2102","13.066644855","6.087367923",19.49154,292,"264:1",2063,"148.20401871",4.23482,107594,25407,45580,14.8
"124","53009",2020,"Washington","Clallam","6981.1611722",16.22304,4.2114,4.42652,"1915","14.095649542","5.9593975115",15.9163,256,"300:1",1790,"279.59373873",4.41959,96409,21814,28030,20.6
"125","53011",2020,"Washington","Clark","5455.1132436",13.73352,3.44923,3.91241,"3715","14.041929032","6.1735131343",18.534,1637,"294:1",11123,"220.19523542",3.87463,129370,33389,230353,10.6
"126","53013",2020,"Washington","Columbia","9048.3855266",17.60192,4.17999,4.46686,"1538","14.352215463","9.2741935484",16.07727,12,"338:1",100,"37.693177535",5.21308,102364,19636,1789,19
"127","53015",2020,"Washington","Cowlitz","8521.2198972",18.56809,4.14424,4.67496,"3483","17.82366819","6.233094202",17.9593,442,"247:1",2729,"259.38136333",4.49937,100714,22384,45923,17.6
"128","53017",2020,"Washington","Douglas","4236.8577759",18.06198,4.02846,4.19358,"3011","13.556586254","5.6422897836",19.03968,24,"1788:1",1151,"98.783725381",3.76202,108019,28713,21603,15.2
"129","53019",2020,"Washington","Ferry","10988.530968",19.09558,4.62824,4.69744,"2123","16.748333178","7.1428571429",15.67196,19,"403:1",292,"112.26494527",5.05516,85867,16986,2488,24.7
"130","53021",2020,"Washington","Franklin","4852.9651189",20.86354,4.02286,4.17217,"3843","14.012740536","6.0113154173",18.30549,125,"755:1",2515,"210.79024152",3.63195,109013,30015,41496,16.7
"131","53023",2020,"Washington","Garfield",NA,17.01193,4.19701,4.34495,"1448","13.407233131","7.5144508671",15.7055,1,"2247:1",52,"89.245872378",3.49195,84767,24275,901,18
"132","53025",2020,"Washington","Grant","6822.3077605",20.70887,4.29283,4.23033,"2648","15.65962674","6.0988433228",16.54875,209,"466:1",2894,"278.46601314",3.88114,100013,25769,46386,16.5
"133","53027",2020,"Washington","Grays Harbor","8816.4751755",17.60666,4.43441,4.57224,"3888","15.288438792","7.2832802846",17.93527,220,"336:1",1892,"243.53339578",4.38375,90840,20722,28109,23.8
"134","53029",2020,"Washington","Island","5460.3921158",13.11106,3.63543,3.81925,"2596","11.600615293","4.9605055292",19.32345,240,"352:1",1810,"107.36796898",3.86245,117801,30499,34628,9.7
"135","53031",2020,"Washington","Jefferson","6941.4109162",12.25303,3.49697,4.08197,"683","11.732302326","4.9268668206",16.78885,128,"248:1",708,"211.64542009",4.30989,104795,24315,12156,21.6
"136","53033",2020,"Washington","King","4485.4698712",10.94129,3.0509,3.57899,"2845","8.8150454593","6.6044585626",19.57237,9529,"234:1",43467,"340.63880554",4.64643,173033,37240,1258687,10.8
"137","53035",2020,"Washington","Kitsap","5511.2068648",13.82495,3.64255,4.14669,"2434","12.469553824","6.3519313305",18.78527,887,"304:1",5713,"263.23249504",3.99902,126601,31658,122885,11.5
