"","fips","year","state","county","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"113",53031,2014,"Washington","Jefferson",5582.73,16.8,NA,NA,NA,14.7,15.5,1134,12041,179.40199,NA,20.14794
"114",53033,2014,"Washington","King",4735.73,10.2,NA,NA,NA,11.1,18.4,76390,1118933,352.19002,NA,18.5332
"115",53035,2014,"Washington","Kitsap",5786.4,12.5,NA,NA,NA,16.9,17.2,8907,120076,379.69456,NA,15.59106
"116",53037,2014,"Washington","Kittitas",4134.61,13.2,NA,NA,NA,15.3,17.3,1722,20819,156.15547,NA,25.69194
"117",53039,2014,"Washington","Klickitat",6887.53,15,NA,NA,NA,15.9,15.4,1032,10699,73.06855,NA,20.70196
"118",53041,2014,"Washington","Lewis",6712.54,16.9,NA,NA,NA,20.1,14,3716,29898,231.64432,NA,15.56845
"119",53043,2014,"Washington","Lincoln",7999.91,12.9,NA,NA,NA,17,15.6,365,4725,110.3057,NA,11.93548
"120",53045,2014,"Washington","Mason",7114.31,18.1,NA,NA,NA,24.9,16.1,2501,24055,307.36012,NA,14.7868
"121",53047,2014,"Washington","Okanogan",8254.86,19.8,NA,NA,NA,23.5,15.1,1933,21080,175.5403,NA,14.25849
"122",53049,2014,"Washington","Pacific",9609.16,19,NA,NA,NA,21,14.6,989,8729,180.80908,NA,17.02018
"123",53051,2014,"Washington","Pend Oreille",7849.77,14.5,NA,NA,NA,20.8,17.3,603,5198,96.76105,NA,18.78403
"124",53053,2014,"Washington","Pierce",6718.03,15.1,NA,NA,NA,17.8,16,34345,385463,476.59654,NA,18.59214
"125",53055,2014,"Washington","San Juan",5088,9,NA,NA,NA,13.4,21.2,503,8172,88.79117,NA,22.98059
"126",53057,2014,"Washington","Skagit",6096.57,15.4,NA,NA,NA,16.1,16.4,5214,56435,200.52012,NA,17.92067
"127",53059,2014,"Washington","Skamania",6962.73,17,NA,NA,NA,18.2,19.7,545,5060,137.19609,NA,18.16168
"128",53061,2014,"Washington","Snohomish",5235.19,13.2,NA,NA,NA,15.6,18.4,30039,386288,222.6847,NA,17.56905
"129",53063,2014,"Washington","Spokane",6600.63,13.9,NA,NA,NA,18.7,17.4,19882,229965,355.81401,NA,15.89469
"130",53065,2014,"Washington","Stevens",7968.39,16.2,NA,NA,NA,22.4,17.8,2032,17622,117.45978,NA,15.65642
"131",53067,2014,"Washington","Thurston",5495.1,13.5,NA,NA,NA,19.1,15.9,9871,126669,241.04189,NA,16.59052
"132",53069,2014,"Washington","Wahkiakum",5644.85,19.5,NA,NA,NA,15.3,18.1,179,1473,131.04013,NA,10.1983
"133",53071,2014,"Washington","Walla Walla",6147.67,15.4,NA,NA,NA,12.9,14.1,2198,30599,257.76547,NA,16.73297
"134",53073,2014,"Washington","Whatcom",5117.67,11.4,NA,NA,NA,13.8,17.4,7948,105360,195.67084,NA,20.25964
"135",53075,2014,"Washington","Whitman",4341.95,9.5,NA,NA,NA,11.2,16.7,1355,21657,126.55333,NA,24.68979
"136",53077,2014,"Washington","Yakima",7678.5,22,NA,NA,NA,15.7,13.8,12243,125257,332.4734,NA,19.67752
"137",41000,2015,"Oregon","state_year",5958.37,13.8,NA,322.23386,NA,16.2,16,148715,1924607,248.82114,"4.5937912813999997",20.00325
"138",41001,2015,"Oregon","Baker",7055.96,11.1,NA,237.23311,NA,23.2,18.3,650,7073,20.60241,"4.6986196807000002",17.58399
"139",41003,2015,"Oregon","Benton",4712.77,11.3,NA,568.18838,NA,10.8,14,2504,43092,116.00614,"6.2647370902999997",22.22887
"140",41005,2015,"Oregon","Clackamas",4978.14,11.8,NA,186.21398,NA,14.6,16.6,13408,196081,105.7166,"4.0659405053000004",18.44526
"141",41007,2015,"Oregon","Clatsop",7550.2,12.6,NA,163.78477,NA,18.3,15.3,1363,19984,102.49888,"4.0268677494",21.46875
"142",41009,2015,"Oregon","Columbia",6248.84,16,NA,174.28664,NA,19.3,16.1,1933,23449,144.71489,"4.4554032401999999",13.74185
"143",41011,2015,"Oregon","Coos",8258.26,17.6,NA,175.01044,NA,26.1,18.2,2707,27479,243.64152,"4.4624619135000003",16.30656
"144",41013,2015,"Oregon","Crook",5867.96,15.7,NA,312.2748,NA,20.7,NA,1068,8707,251.7177,"4.0093020665000001",17.96339
"145",41015,2015,"Oregon","Curry",8925.95,20.7,NA,156.67666,NA,21.3,17.4,919,8689,127.69761,"4.4797194094000004",19.71014
"146",41017,2015,"Oregon","Deschutes",5431.06,8.7,NA,305.50635,NA,12.3,16.8,7370,77752,295.0136,"4.3886341973",21.40455
"147",41019,2015,"Oregon","Douglas",7753.27,23,NA,176.73462,NA,24.1,14.5,4676,43207,116.40332,"4.1591179332000001",16.65338
