"","X","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income"
"184",184,6019,2015,"California","Fresno",10.478608093,674,NA,NA,NA,43741
"185",185,6021,2015,"California","Glenn",18.387235173,36,NA,NA,NA,42129
"186",186,6023,2015,"California","Humboldt",35.091247943,328,NA,NA,NA,40882
"187",187,6025,2015,"California","Imperial",9.9701816165,119,NA,NA,NA,40106
"188",188,6027,2015,"California","Inyo",9.2895794143,12,NA,NA,NA,45784
"189",189,6029,2015,"California","Kern",16.269707137,941,NA,NA,NA,46688
"190",190,6031,2015,"California","Kings",7.7318518351,82,NA,NA,NA,45794
"191",191,6033,2015,"California","Lake",39.550721578,178,NA,NA,NA,36973
"192",192,6035,2015,"California","Lassen",30.819300279,75,NA,NA,NA,50487
"193",193,6037,2015,"California","Los Angeles",7.2663627247,4987,NA,NA,NA,54443
"194",194,6039,2015,"California","Madera",10.351867649,108,NA,NA,NA,41223
"195",195,6041,2015,"California","Marin",13.058872706,229,NA,NA,NA,94347
"196",196,6043,2015,"California","Mariposa",22.735112421,29,NA,NA,NA,45251
"197",197,6045,2015,"California","Mendocino",18.777717544,115,NA,NA,NA,42001
"198",198,6047,2015,"California","Merced",10.311520617,183,NA,NA,NA,41003
"199",199,6049,2015,"California","Modoc",26.918302951,18,NA,NA,NA,37055
"200",200,6051,2015,"California","Mono",NA,NA,NA,NA,NA,55107
"201",201,6053,2015,"California","Monterey",9.6733627833,279,NA,NA,NA,55411
"202",202,6055,2015,"California","Napa",10.453921963,99,NA,NA,NA,68619
"203",203,6057,2015,"California","Nevada",16.283756081,112,NA,NA,NA,55246
"204",204,6059,2015,"California","Orange",10.236220585,2146,NA,NA,NA,73827
"205",205,6061,2015,"California","Placer",11.335283947,272,NA,NA,NA,73643
"206",206,6063,2015,"California","Plumas",29.749466989,42,NA,NA,NA,47645
"207",207,6065,2015,"California","Riverside",10.929372982,1644,NA,NA,NA,53909
"208",208,6067,2015,"California","Sacramento",16.016185375,1579,NA,NA,NA,52980
"209",209,6069,2015,"California","San Benito",8.0493555322,31,NA,NA,NA,66780
"210",210,6071,2015,"California","San Bernardino",5.5344187194,784,NA,NA,NA,52112
"211",211,6073,2015,"California","San Diego",12.124865101,2597,NA,NA,NA,61365
"212",212,6075,2015,"California","San Francisco",21.202219572,1184,NA,NA,NA,76933
"213",213,6077,2015,"California","San Joaquin",16.119377423,768,NA,NA,NA,51219
