"","X.1","fips","year","state","county","combined_overdose_mortality_rate","combined_overdose_deaths","child_mortality_rate","infant_mortality_rate","age_adjusted_mortality","combined_household_income","combined_ypll_rate","percent_fair_or_poor_health","average_number_of_physically_unhealthy_days","mental_health_provider_rate","average_number_of_mentally_unhealthy_days","smokers","excessive_drinking","unemployed","labor_force","violent_crime_rates","income_ratio","severe_housing_problems"
"113",385,53031,2016,"Washington","Jefferson",13.309966947,12,NA,NA,245.8,50964,5128,12.6,NA,274.57986,NA,12.5,16.3,917,11160,187.99071,4.5824187149,19.8519
"114",386,53033,2016,"Washington","King",13.747876662,843,37.139631368,4.1217410326,239.7,75738,4516,10.4,NA,293.85082,NA,10.4,21.2,53298,1158224,343.37923,4.7180339742,18.77774
"115",387,53035,2016,"Washington","Kitsap",11.138163016,85,44.476515946,5.1040061633,275.3,61898,5439.8,12.9,NA,222.67422,NA,13.3,19.4,7123,113148,322.92464,3.9711180016,16.19228
"116",388,53037,2016,"Washington","Kittitas",10.320818679,13,46.929471708,NA,284.1,48127,5446,15.3,NA,129.34481,NA,15.7,20.9,1424,20003,132.52054,5.4941570298,24.60606
"117",389,53039,2016,"Washington","Klickitat",NA,NA,61.863787189,NA,327.9,49348,6691.5,15.5,NA,134.22175,NA,15.2,18.1,809,9721,87.30095,3.4246427492,18.80651
"118",390,53041,2016,"Washington","Lewis",16.384005668,37,46.661514458,NA,365.7,44243,7015.4,15,NA,175.70014,NA,15.3,18.5,2862,31011,222.48368,4.1274082971,17.14431
"119",391,53043,2016,"Washington","Lincoln",NA,NA,NA,NA,309.8,49955,5955.6,12.5,NA,48.78049,NA,12.8,18.2,306,5048,84.67932,4.1424596296,12.90672
"120",392,53045,2016,"Washington","Mason",21.423862887,39,51.595327527,4.8383549593,355.9,52313,7560.6,15,NA,84.00455,NA,15.5,19.3,1988,23292,284.83369,4.2639564287,16.39098
"121",393,53047,2016,"Washington","Okanogan",9.6963428627,12,64.719892306,6.2531265633,352.4,37782,7228.6,20.3,NA,244.61129,NA,17.9,16.6,1568,21256,194.81251,4.5305136312,16.77255
"122",394,53049,2016,"Washington","Pacific",22.714735373,14,67.704807041,NA,406.4,40189,8263.9,16.7,NA,189.67949,NA,15,15.9,816,8056,127.95602,4.4564922423,16.07048
"123",395,53051,2016,"Washington","Pend Oreille",NA,NA,NA,NA,402.9,42579,9625.5,16.5,NA,123.2191,NA,15.8,16.7,476,4623,132.41998,4.5395813282,18.12328
"124",396,53053,2016,"Washington","Pierce",14.736018239,363,45.665450608,5.7118974645,328.5,60397,6356.9,14.3,NA,347.26563,NA,16.7,20,27672,383905,443.24511,4.0710107671,19.17751
"125",397,53055,2016,"Washington","San Juan",NA,NA,NA,NA,221.5,54721,5025.8,12.1,NA,343.42804,NA,12.1,17.8,399,7657,96.26653,4.4334835587,25.04708
"126",398,53057,2016,"Washington","Skagit",17.626124715,63,45.583422221,4.8172286767,289.2,51395,6021.8,14.6,NA,265.85802,NA,14.9,18.9,4164,56596,202.02703,4.2798492004,18.94447
"127",399,53059,2016,"Washington","Skamania",NA,NA,NA,NA,317.5,52673,6077.8,14.4,NA,114.63845,NA,14.9,18.8,434,4978,104.34783,5.4821735395,19.29224
"128",400,53061,2016,"Washington","Snohomish",17.600820538,394,29.671752636,4.3484294768,276.8,71890,5108,12.9,NA,230.12627,NA,12.9,17.7,20328,395313,207.66959,3.9000317763,18.15338
"129",401,53063,2016,"Washington","Spokane",14.936250001,215,48.085882767,5.4874266355,330.4,50083,6494.7,13.7,NA,222.78751,NA,15.5,20.6,16080,225031,352.60131,4.5544454585,16.40385
"130",402,53065,2016,"Washington","Stevens",12.249460258,16,42.362322452,7.0310003196,351.7,43823,7780.4,15.3,NA,235.96793,NA,17,18.9,1659,17562,103.74235,4.0921953902,16.55798
"131",403,53067,2016,"Washington","Thurston",11.569203543,91,42.98745626,4.8639969777,283.3,61653,5472.6,12.6,NA,180.17611,NA,14.3,19.2,8184,123119,230.46067,3.9061520934,17.03468
"132",404,53069,2016,"Washington","Wahkiakum",NA,NA,NA,NA,455.8,51022,11719.3,15.6,NA,295.05778,NA,14,16.6,135,1359,91.30146,4.0546297887,12.35294
"133",405,53071,2016,"Washington","Walla Walla",17.899294097,32,45.439054868,6.6791901482,294.2,49819,5985.1,16.1,NA,217.23147,NA,14.1,20.3,1844,28297,256.91832,4.6595301058,16.65504
"134",406,53073,2016,"Washington","Whatcom",8.387556737,52,38.84771695,4.8982188295,255.1,53733,5047.2,13.7,NA,357.56968,NA,13.6,21.8,6769,101872,208.64152,4.7419416639,20.31043
"135",407,53075,2016,"Washington","Whitman",NA,NA,48.076923077,NA,240.6,41837,4584.7,16.7,NA,136.67329,NA,17.6,22.6,1214,22059,120.96565,7.687135506,26.0274
"136",408,53077,2016,"Washington","Yakima",9.1680283885,68,54.408608651,6.2184983963,341.1,44342,6796.5,23.1,NA,220.03577,NA,16.9,18.9,10648,119318,340.74843,4.2376513981,20.56492
"137",409,41000,2017,"Oregon","year_state_total",12.423213101,1482,43.470574347,5.0808059463,310,54074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",410,41001,2017,"Oregon","Baker",NA,NA,NA,NA,363.5,40855,7239.1,14.93434,NA,468.60356,NA,15.74378,17.49156,462,6691,216.42769,4.5879800262,17.76685
